Organisation,Type,Focus,Area of Operation,TtoR,Variety,Regularity,EQ,RJ,CU,CJ,SO,SJ,CE,SC
Rosebud,,Education,North somerset,2,A,A4,False,False,False,False,False,True,False,False
Avon & Somerset Police,,Statutory,Regional,3,B,A4,False,False,False,False,False,True,False,False
Chinese Community Wellbeing Society,,Community,Regional,3,A,A4,False,False,True,False,True,False,False,False
Citizens for Culture,,Creative arts,Regional,3,A,A4,True,False,True,False,False,False,True,False
Copwatch,,Justice,Regional,3,A,A4,False,False,False,False,False,True,False,False
Front Room,Social Enterprise,Creative arts,Regional,4,B,A5,True,False,True,True,False,False,False,False
Off the Record,,Health,Regional,3,B,A4,True,False,False,False,False,True,False,False
Police IAG,,Justice,Regional,2,A,A2,False,False,False,False,False,True,False,False
SARI,,Justice,Regional,2,A,A4,False,True,False,False,False,True,False,False
Impact Alliance,,Health,Regional,3,A,A4,False,False,False,False,True,True,False,True
Cartoon Club,,Creative arts,Local,2,A,A3,False,False,True,False,True,False,False,False
Fire Brigade,,Statutory,Local,3,A,A4,False,False,False,False,False,True,False,False
Mens Shed,,Health,Local,3,A,A4,False,False,False,False,True,False,False,False
Mens Talk Club,,Health,North somerset,3,A,A4,False,False,False,False,True,False,False,False
Weston Hospice,,Health,Local,3,A,A4,True,False,False,False,False,True,False,False
